v,f,y
id10029\1.wav,id10025\4.jpg,0
id10049\5.wav,id10049\3.jpg,1
id10023\2.wav,id10017\5.jpg,0
id10049\2.wav,id10049\2.jpg,1
id10025\1.wav,id10023\3.jpg,0
id10036\5.wav,id10014\1.jpg,0
id10029\2.wav,id10029\4.jpg,1
id10055\4.wav,id10055\3.jpg,1
id10008\4.wav,id10008\5.jpg,1
id10053\2.wav,id10053\4.jpg,1
id10018\3.wav,id10018\4.jpg,1
id10036\4.wav,id10036\2.jpg,1
id10029\2.wav,id10016\2.jpg,0
id10055\5.wav,id10055\1.jpg,1
id10042\1.wav,id10019\1.jpg,0
id10043\3.wav,id10050\3.jpg,0
id10029\3.wav,id10028\3.jpg,0
id10021\3.wav,id10021\4.jpg,1
id10016\2.wav,id10018\1.jpg,0
id10012\5.wav,id10007\1.jpg,0
id10039\1.wav,id10055\1.jpg,0
id10012\3.wav,id10018\1.jpg,0
id10052\1.wav,id10045\1.jpg,0
id10023\5.wav,id10023\5.jpg,1
id10051\4.wav,id10039\4.jpg,0
id10009\2.wav,id10009\1.jpg,1
id10039\2.wav,id10021\1.jpg,0
id10046\1.wav,id10046\5.jpg,1
id10053\4.wav,id10011\1.jpg,0
id10033\3.wav,id10033\4.jpg,1
id10012\5.wav,id10039\3.jpg,0
id10042\4.wav,id10041\2.jpg,0
id10006\4.wav,id10032\5.jpg,0
id10043\3.wav,id10025\2.jpg,0
id10034\1.wav,id10034\1.jpg,1
id10051\5.wav,id10041\5.jpg,0
id10030\3.wav,id10052\3.jpg,0
id10039\4.wav,id10032\3.jpg,0
id10010\4.wav,id10045\2.jpg,0
id10035\3.wav,id10053\3.jpg,0
id10055\1.wav,id10047\3.jpg,0
id10038\3.wav,id10016\5.jpg,0
id10011\2.wav,id10011\3.jpg,1
id10023\5.wav,id10023\2.jpg,1
id10037\2.wav,id10034\5.jpg,0
id10030\3.wav,id10055\5.jpg,0
id10038\3.wav,id10038\5.jpg,1
id10018\1.wav,id10047\1.jpg,0
id10019\5.wav,id10041\4.jpg,0
id10022\1.wav,id10012\5.jpg,0
id10023\1.wav,id10041\4.jpg,0
id10040\5.wav,id10041\5.jpg,0
id10040\4.wav,id10034\1.jpg,0
id10014\2.wav,id10014\5.jpg,1
id10032\1.wav,id10043\5.jpg,0
id10031\2.wav,id10041\4.jpg,0
id10042\4.wav,id10014\3.jpg,0
id10033\4.wav,id10042\2.jpg,0
id10048\4.wav,id10033\4.jpg,0
id10048\3.wav,id10048\3.jpg,1
id10046\1.wav,id10019\3.jpg,0
id10027\4.wav,id10018\4.jpg,0
id10040\2.wav,id10040\4.jpg,1
id10044\2.wav,id10035\2.jpg,0
id10036\1.wav,id10036\5.jpg,1
id10012\3.wav,id10007\3.jpg,0
id10043\5.wav,id10006\3.jpg,0
id10014\2.wav,id10016\1.jpg,0
id10046\5.wav,id10016\4.jpg,0
id10051\5.wav,id10051\4.jpg,1
id10047\5.wav,id10046\2.jpg,0
id10043\3.wav,id10054\1.jpg,0
id10033\2.wav,id10033\5.jpg,1
id10044\1.wav,id10038\1.jpg,0
id10026\3.wav,id10034\1.jpg,0
id10048\1.wav,id10048\5.jpg,1
id10049\2.wav,id10049\2.jpg,1
id10055\4.wav,id10033\4.jpg,0
id10012\3.wav,id10014\5.jpg,0
id10034\5.wav,id10008\3.jpg,0
id10020\3.wav,id10051\1.jpg,0
id10043\3.wav,id10030\2.jpg,0
id10015\3.wav,id10015\5.jpg,1
id10039\4.wav,id10033\5.jpg,0
id10016\2.wav,id10030\2.jpg,0
id10017\4.wav,id10017\1.jpg,1
id10016\4.wav,id10016\3.jpg,1
id10014\5.wav,id10006\3.jpg,0
id10033\4.wav,id10026\1.jpg,0
id10006\5.wav,id10046\2.jpg,0
id10030\3.wav,id10014\2.jpg,0
id10044\1.wav,id10041\2.jpg,0
id10052\3.wav,id10050\2.jpg,0
id10037\4.wav,id10037\4.jpg,1
id10023\2.wav,id10029\4.jpg,0
id10053\1.wav,id10053\3.jpg,1
id10007\5.wav,id10009\3.jpg,0
id10031\4.wav,id10049\2.jpg,0
id10012\3.wav,id10037\5.jpg,0
id10012\3.wav,id10012\1.jpg,1
id10039\5.wav,id10027\4.jpg,0
id10027\3.wav,id10047\3.jpg,0
id10052\1.wav,id10055\2.jpg,0
id10037\3.wav,id10021\5.jpg,0
id10017\3.wav,id10017\1.jpg,1
id10045\4.wav,id10045\2.jpg,1
id10044\1.wav,id10044\5.jpg,1
id10041\2.wav,id10041\3.jpg,1
id10008\2.wav,id10035\5.jpg,0
id10036\1.wav,id10036\4.jpg,1
id10019\4.wav,id10019\4.jpg,1
id10038\1.wav,id10028\4.jpg,0
id10032\1.wav,id10039\3.jpg,0
id10010\2.wav,id10035\5.jpg,0
id10008\2.wav,id10040\3.jpg,0
id10048\1.wav,id10048\4.jpg,1
id10043\2.wav,id10043\3.jpg,1
id10021\5.wav,id10021\1.jpg,1
id10038\1.wav,id10034\4.jpg,0
id10045\5.wav,id10036\4.jpg,0
id10008\1.wav,id10008\1.jpg,1
id10022\2.wav,id10042\1.jpg,0
id10017\5.wav,id10047\4.jpg,0
id10021\5.wav,id10022\5.jpg,0
id10033\2.wav,id10011\4.jpg,0
id10053\1.wav,id10050\1.jpg,0
id10010\1.wav,id10010\5.jpg,1
id10028\4.wav,id10042\4.jpg,0
id10014\1.wav,id10007\1.jpg,0
id10036\4.wav,id10054\5.jpg,0
id10015\4.wav,id10037\5.jpg,0
id10041\5.wav,id10041\1.jpg,1
id10034\1.wav,id10052\4.jpg,0
id10021\5.wav,id10043\2.jpg,0
id10020\5.wav,id10020\3.jpg,1
id10031\4.wav,id10012\4.jpg,0
id10023\5.wav,id10043\2.jpg,0
id10052\4.wav,id10034\3.jpg,0
id10044\5.wav,id10039\5.jpg,0
id10008\3.wav,id10008\1.jpg,1
id10048\2.wav,id10048\5.jpg,1
id10019\4.wav,id10016\3.jpg,0
id10046\4.wav,id10046\5.jpg,1
id10007\5.wav,id10007\1.jpg,1
id10025\4.wav,id10025\5.jpg,1
id10019\4.wav,id10019\2.jpg,1
id10055\5.wav,id10016\5.jpg,0
id10023\3.wav,id10040\2.jpg,0
id10021\4.wav,id10008\3.jpg,0
id10011\5.wav,id10048\3.jpg,0
id10048\5.wav,id10009\3.jpg,0
id10054\5.wav,id10052\5.jpg,0
id10032\4.wav,id10033\4.jpg,0
id10026\2.wav,id10026\4.jpg,1
id10036\2.wav,id10045\3.jpg,0
id10033\4.wav,id10048\5.jpg,0
id10041\5.wav,id10041\2.jpg,1
id10035\2.wav,id10054\5.jpg,0
id10034\5.wav,id10044\5.jpg,0
id10035\2.wav,id10031\1.jpg,0
id10013\5.wav,id10007\2.jpg,0
id10016\3.wav,id10044\3.jpg,0
id10044\2.wav,id10033\5.jpg,0
id10035\5.wav,id10011\5.jpg,0
id10040\4.wav,id10040\4.jpg,1
id10033\4.wav,id10033\1.jpg,1
id10041\3.wav,id10012\4.jpg,0
id10007\4.wav,id10039\5.jpg,0
id10016\1.wav,id10007\1.jpg,0
id10029\1.wav,id10046\5.jpg,0
id10046\1.wav,id10047\5.jpg,0
id10032\1.wav,id10038\3.jpg,0
id10040\4.wav,id10038\1.jpg,0
id10049\3.wav,id10049\1.jpg,1
id10025\2.wav,id10025\2.jpg,1
id10038\1.wav,id10038\1.jpg,1
id10039\5.wav,id10039\2.jpg,1
id10015\4.wav,id10015\3.jpg,1
id10049\2.wav,id10037\5.jpg,0
id10020\4.wav,id10020\2.jpg,1
id10020\1.wav,id10034\4.jpg,0
id10038\4.wav,id10038\2.jpg,1
id10027\3.wav,id10021\2.jpg,0
id10053\2.wav,id10014\4.jpg,0
id10018\3.wav,id10043\2.jpg,0
id10035\3.wav,id10016\4.jpg,0
id10033\4.wav,id10046\5.jpg,0
id10021\2.wav,id10015\5.jpg,0
id10038\1.wav,id10028\3.jpg,0
id10044\3.wav,id10027\1.jpg,0
id10034\4.wav,id10035\3.jpg,0
id10054\5.wav,id10054\1.jpg,1
id10048\3.wav,id10048\5.jpg,1
id10009\1.wav,id10013\4.jpg,0
id10053\1.wav,id10053\3.jpg,1
id10055\3.wav,id10055\1.jpg,1
id10039\5.wav,id10021\4.jpg,0
id10031\5.wav,id10031\3.jpg,1
id10037\3.wav,id10018\4.jpg,0
id10042\1.wav,id10029\2.jpg,0
id10049\1.wav,id10043\4.jpg,0
id10014\5.wav,id10010\5.jpg,0
id10043\1.wav,id10043\5.jpg,1
id10027\1.wav,id10027\4.jpg,1
id10010\4.wav,id10048\5.jpg,0
id10014\1.wav,id10014\2.jpg,1
id10007\5.wav,id10013\3.jpg,0
id10051\2.wav,id10049\4.jpg,0
id10055\2.wav,id10055\1.jpg,1
id10038\5.wav,id10025\5.jpg,0
id10043\1.wav,id10043\1.jpg,1
id10009\5.wav,id10021\1.jpg,0
id10016\3.wav,id10016\3.jpg,1
id10027\3.wav,id10018\2.jpg,0
id10048\5.wav,id10048\4.jpg,1
id10015\5.wav,id10017\2.jpg,0
id10042\1.wav,id10042\4.jpg,1
id10055\3.wav,id10055\3.jpg,1
id10009\3.wav,id10018\4.jpg,0
id10036\5.wav,id10020\4.jpg,0
id10008\1.wav,id10008\4.jpg,1
id10025\1.wav,id10025\4.jpg,1
id10049\5.wav,id10049\5.jpg,1
id10032\1.wav,id10048\4.jpg,0
id10008\3.wav,id10008\2.jpg,1
id10015\4.wav,id10050\4.jpg,0
id10012\1.wav,id10038\1.jpg,0
id10032\1.wav,id10035\4.jpg,0
id10023\4.wav,id10032\3.jpg,0
id10030\3.wav,id10019\5.jpg,0
id10048\2.wav,id10034\1.jpg,0
id10030\1.wav,id10016\1.jpg,0
id10051\4.wav,id10051\4.jpg,1
id10014\5.wav,id10017\1.jpg,0
id10052\4.wav,id10052\1.jpg,1
id10009\3.wav,id10009\4.jpg,1
id10049\5.wav,id10010\2.jpg,0
id10050\1.wav,id10025\1.jpg,0
id10016\3.wav,id10016\5.jpg,1
id10029\4.wav,id10051\4.jpg,0
id10008\4.wav,id10008\1.jpg,1
id10014\2.wav,id10014\1.jpg,1
id10030\3.wav,id10030\1.jpg,1
id10039\3.wav,id10014\1.jpg,0
id10020\5.wav,id10050\3.jpg,0
id10026\1.wav,id10023\1.jpg,0
id10007\4.wav,id10041\2.jpg,0
id10027\4.wav,id10026\4.jpg,0
id10055\3.wav,id10055\5.jpg,1
id10023\1.wav,id10023\3.jpg,1
id10039\3.wav,id10025\3.jpg,0
id10037\1.wav,id10047\2.jpg,0
id10028\2.wav,id10028\5.jpg,1
id10006\3.wav,id10008\5.jpg,0
id10007\2.wav,id10007\3.jpg,1
id10022\5.wav,id10008\3.jpg,0
id10039\4.wav,id10039\3.jpg,1
id10007\1.wav,id10037\3.jpg,0
id10029\5.wav,id10053\5.jpg,0
id10051\5.wav,id10029\4.jpg,0
id10037\5.wav,id10032\2.jpg,0
id10048\4.wav,id10018\2.jpg,0
id10026\3.wav,id10041\1.jpg,0
id10031\3.wav,id10043\4.jpg,0
id10006\3.wav,id10006\5.jpg,1
id10050\2.wav,id10050\2.jpg,1
id10052\4.wav,id10041\5.jpg,0
id10032\4.wav,id10013\4.jpg,0
id10046\1.wav,id10046\1.jpg,1
id10008\5.wav,id10015\1.jpg,0
id10045\1.wav,id10045\5.jpg,1
id10015\1.wav,id10023\5.jpg,0
id10038\1.wav,id10038\3.jpg,1
id10006\5.wav,id10006\5.jpg,1
id10053\2.wav,id10034\2.jpg,0
id10048\5.wav,id10034\1.jpg,0
id10009\3.wav,id10049\5.jpg,0
id10028\5.wav,id10007\3.jpg,0
id10011\2.wav,id10011\1.jpg,1
id10034\1.wav,id10037\5.jpg,0
id10014\4.wav,id10047\3.jpg,0
id10047\3.wav,id10024\1.jpg,0
id10031\3.wav,id10031\2.jpg,1
id10012\2.wav,id10039\4.jpg,0
id10051\2.wav,id10008\5.jpg,0
id10014\4.wav,id10014\3.jpg,1
id10052\5.wav,id10016\2.jpg,0
id10042\3.wav,id10029\4.jpg,0
id10052\4.wav,id10052\3.jpg,1
id10008\1.wav,id10041\4.jpg,0
id10037\1.wav,id10049\3.jpg,0
id10027\3.wav,id10055\4.jpg,0
id10036\5.wav,id10036\5.jpg,1
id10026\5.wav,id10026\2.jpg,1
id10021\4.wav,id10050\2.jpg,0
id10049\3.wav,id10036\1.jpg,0
id10012\1.wav,id10012\5.jpg,1
id10037\3.wav,id10032\3.jpg,0
id10029\1.wav,id10007\1.jpg,0
id10024\3.wav,id10020\5.jpg,0
id10044\5.wav,id10036\2.jpg,0
id10041\3.wav,id10041\2.jpg,1
id10041\4.wav,id10043\3.jpg,0
id10029\4.wav,id10033\1.jpg,0
id10022\3.wav,id10022\1.jpg,1
id10024\2.wav,id10024\2.jpg,1
id10015\3.wav,id10017\1.jpg,0
id10035\2.wav,id10035\1.jpg,1
id10008\5.wav,id10020\3.jpg,0
id10037\1.wav,id10042\4.jpg,0
id10040\2.wav,id10021\5.jpg,0
id10047\5.wav,id10030\2.jpg,0
id10016\3.wav,id10036\5.jpg,0
id10021\4.wav,id10021\3.jpg,1
id10022\1.wav,id10023\2.jpg,0
id10045\3.wav,id10028\2.jpg,0
id10052\2.wav,id10052\4.jpg,1
id10029\4.wav,id10048\2.jpg,0
id10036\1.wav,id10029\3.jpg,0
id10054\4.wav,id10049\3.jpg,0
id10038\5.wav,id10038\4.jpg,1
id10020\2.wav,id10033\3.jpg,0
id10048\5.wav,id10039\2.jpg,0
id10014\2.wav,id10024\4.jpg,0
id10043\1.wav,id10027\2.jpg,0
id10009\4.wav,id10023\5.jpg,0
id10011\1.wav,id10037\3.jpg,0
id10054\4.wav,id10009\5.jpg,0
id10030\4.wav,id10033\1.jpg,0
id10028\4.wav,id10026\1.jpg,0
id10037\5.wav,id10039\1.jpg,0
id10025\1.wav,id10007\4.jpg,0
id10026\1.wav,id10024\5.jpg,0
id10042\4.wav,id10047\1.jpg,0
id10014\5.wav,id10050\4.jpg,0
id10008\2.wav,id10017\1.jpg,0
id10040\1.wav,id10040\3.jpg,1
id10055\4.wav,id10038\1.jpg,0
id10014\1.wav,id10037\2.jpg,0
id10027\4.wav,id10027\1.jpg,1
id10012\1.wav,id10038\4.jpg,0
id10018\4.wav,id10018\1.jpg,1
id10045\2.wav,id10037\3.jpg,0
id10045\3.wav,id10034\4.jpg,0
id10036\2.wav,id10036\2.jpg,1
id10021\3.wav,id10021\2.jpg,1
id10050\4.wav,id10016\3.jpg,0
id10034\4.wav,id10017\3.jpg,0
id10042\4.wav,id10006\5.jpg,0
id10006\2.wav,id10021\4.jpg,0
id10033\5.wav,id10033\2.jpg,1
id10021\5.wav,id10042\1.jpg,0
id10047\5.wav,id10053\1.jpg,0
id10051\4.wav,id10040\1.jpg,0
id10026\2.wav,id10029\2.jpg,0
id10053\2.wav,id10053\5.jpg,1
id10010\2.wav,id10021\5.jpg,0
id10007\4.wav,id10007\4.jpg,1
id10048\4.wav,id10032\5.jpg,0
id10035\5.wav,id10035\1.jpg,1
id10044\3.wav,id10044\2.jpg,1
id10055\5.wav,id10048\5.jpg,0
id10036\1.wav,id10036\3.jpg,1
id10035\1.wav,id10025\5.jpg,0
id10015\5.wav,id10033\2.jpg,0
id10038\3.wav,id10038\2.jpg,1
id10053\2.wav,id10053\3.jpg,1
id10055\2.wav,id10027\4.jpg,0
id10033\1.wav,id10027\3.jpg,0
id10034\5.wav,id10038\2.jpg,0
id10032\5.wav,id10042\4.jpg,0
id10055\2.wav,id10055\3.jpg,1
id10053\1.wav,id10022\5.jpg,0
id10015\5.wav,id10014\3.jpg,0
id10047\3.wav,id10020\5.jpg,0
id10011\1.wav,id10015\4.jpg,0
id10027\4.wav,id10027\3.jpg,1
id10022\4.wav,id10022\1.jpg,1
id10031\2.wav,id10031\2.jpg,1
id10022\1.wav,id10049\3.jpg,0
id10007\5.wav,id10008\3.jpg,0
id10033\3.wav,id10019\4.jpg,0
id10046\2.wav,id10021\2.jpg,0
id10023\3.wav,id10023\2.jpg,1
id10031\5.wav,id10007\3.jpg,0
id10038\4.wav,id10055\1.jpg,0
id10052\1.wav,id10047\3.jpg,0
id10028\3.wav,id10028\4.jpg,1
id10031\1.wav,id10031\4.jpg,1
id10007\2.wav,id10029\3.jpg,0
id10020\1.wav,id10031\5.jpg,0
id10051\1.wav,id10017\4.jpg,0
id10021\3.wav,id10021\4.jpg,1
id10011\1.wav,id10046\4.jpg,0
id10038\1.wav,id10053\1.jpg,0
id10008\2.wav,id10032\4.jpg,0
id10031\4.wav,id10013\5.jpg,0
id10021\4.wav,id10021\1.jpg,1
id10013\2.wav,id10013\3.jpg,1
id10033\2.wav,id10033\1.jpg,1
id10046\1.wav,id10036\2.jpg,0
id10025\4.wav,id10010\3.jpg,0
id10024\2.wav,id10041\2.jpg,0
id10014\2.wav,id10030\5.jpg,0
id10026\1.wav,id10026\5.jpg,1
id10030\5.wav,id10016\4.jpg,0
id10043\5.wav,id10043\4.jpg,1
id10016\4.wav,id10012\5.jpg,0
id10032\4.wav,id10045\1.jpg,0
id10009\4.wav,id10010\5.jpg,0
id10016\4.wav,id10019\4.jpg,0
id10035\5.wav,id10045\2.jpg,0
id10052\4.wav,id10052\4.jpg,1
id10041\2.wav,id10018\3.jpg,0
id10010\1.wav,id10010\2.jpg,1
id10037\3.wav,id10012\5.jpg,0
id10043\3.wav,id10043\2.jpg,1
id10032\2.wav,id10022\4.jpg,0
id10033\1.wav,id10033\4.jpg,1
id10008\2.wav,id10008\4.jpg,1
id10007\1.wav,id10032\5.jpg,0
id10016\5.wav,id10027\5.jpg,0
id10044\2.wav,id10036\2.jpg,0
id10007\2.wav,id10007\1.jpg,1
id10052\4.wav,id10023\3.jpg,0
id10017\4.wav,id10030\5.jpg,0
id10041\5.wav,id10041\5.jpg,1
id10026\2.wav,id10040\2.jpg,0
id10039\1.wav,id10013\3.jpg,0
id10041\4.wav,id10041\5.jpg,1
id10027\2.wav,id10027\5.jpg,1
id10038\1.wav,id10038\2.jpg,1
id10033\4.wav,id10043\4.jpg,0
id10053\5.wav,id10024\3.jpg,0
id10023\4.wav,id10023\3.jpg,1
id10010\5.wav,id10032\2.jpg,0
id10047\2.wav,id10029\2.jpg,0
id10032\5.wav,id10007\2.jpg,0
id10019\2.wav,id10051\3.jpg,0
id10019\3.wav,id10052\4.jpg,0
id10026\4.wav,id10049\2.jpg,0
id10020\2.wav,id10047\4.jpg,0
id10043\5.wav,id10043\5.jpg,1
id10026\2.wav,id10026\1.jpg,1
id10006\4.wav,id10052\1.jpg,0
id10008\1.wav,id10048\1.jpg,0
id10031\2.wav,id10031\5.jpg,1
id10037\5.wav,id10034\3.jpg,0
id10007\5.wav,id10024\1.jpg,0
id10052\5.wav,id10052\2.jpg,1
id10017\3.wav,id10037\4.jpg,0
id10027\1.wav,id10008\5.jpg,0
id10047\1.wav,id10006\3.jpg,0
id10009\5.wav,id10018\3.jpg,0
id10031\5.wav,id10009\4.jpg,0
id10013\3.wav,id10028\4.jpg,0
id10042\3.wav,id10046\5.jpg,0
id10046\5.wav,id10046\1.jpg,1
id10036\4.wav,id10031\2.jpg,0
id10030\2.wav,id10030\4.jpg,1
id10034\5.wav,id10034\2.jpg,1
id10050\5.wav,id10055\4.jpg,0
id10051\4.wav,id10051\4.jpg,1
id10048\3.wav,id10044\4.jpg,0
id10024\4.wav,id10020\2.jpg,0
id10007\4.wav,id10019\3.jpg,0
id10039\2.wav,id10039\4.jpg,1
id10047\5.wav,id10013\5.jpg,0
id10026\2.wav,id10026\4.jpg,1
id10047\3.wav,id10016\2.jpg,0
id10032\5.wav,id10032\2.jpg,1
id10008\2.wav,id10018\4.jpg,0
id10017\2.wav,id10017\5.jpg,1
id10029\1.wav,id10029\3.jpg,1
id10008\2.wav,id10019\1.jpg,0
id10047\5.wav,id10007\2.jpg,0
id10021\1.wav,id10026\2.jpg,0
id10053\1.wav,id10008\2.jpg,0
id10051\2.wav,id10021\2.jpg,0
id10044\2.wav,id10040\2.jpg,0
id10049\3.wav,id10018\2.jpg,0
id10009\3.wav,id10009\5.jpg,1
id10014\1.wav,id10018\5.jpg,0
id10017\3.wav,id10033\2.jpg,0
id10050\5.wav,id10032\1.jpg,0
id10022\1.wav,id10029\3.jpg,0
id10046\5.wav,id10048\2.jpg,0
id10052\2.wav,id10011\4.jpg,0
id10012\3.wav,id10012\3.jpg,1
id10048\3.wav,id10048\4.jpg,1
id10034\3.wav,id10034\5.jpg,1
id10014\1.wav,id10028\4.jpg,0
id10014\1.wav,id10014\4.jpg,1
id10014\5.wav,id10014\5.jpg,1
id10052\3.wav,id10022\5.jpg,0
id10027\1.wav,id10010\5.jpg,0
id10024\2.wav,id10030\4.jpg,0
id10041\5.wav,id10041\3.jpg,1
id10046\3.wav,id10046\3.jpg,1
